Age,BusinessTravel,Department,DistanceFromHome,Education,Gender,JobInvolvement,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
25,Travel_Rarely,Sales,0,Undergraduate,Male,2,5,Single,3070.761848087149,0,19,2,15,9,5,4,0
30,Non-Travel,Research & Development,0,Masters,Female,1,2,Married,2872.712991912161,0,32,6,10,10,12,6,0
27,Travel_Rarely,Sales,0,Masters,Female,2,8,Married,8014.558657522732,0,19,3,1,1,4,2,1
29,Travel_Rarely,Research & Development,0,Phd,Female,0,4,Single,1025.189799469664,1,25,1,18,1,11,14,0
34,Travel_Rarely,Research & Development,0,High School,Female,2,5,Divorced,3843.040732098739,1,5,4,9,5,12,0,0
43,Non-Travel,Human Resources,0,Undergraduate,Male,2,3,Married,1288.6830511405367,1,8,7,5,5,10,12,0
44,Travel_Rarely,Sales,0,Undergraduate,Male,1,4,Divorced,4464.832519517708,0,19,1,16,14,3,0,0
26,Non-Travel,Research & Development,0,Undergraduate,Male,1,2,Single,2763.161535257793,0,0,3,8,7,14,1,1
39,Travel_Rarely,Research & Development,0,High School,Female,0,3,Divorced,3538.110622260969,0,19,5,1,3,3,11,0
34,Non-Travel,Research & Development,0,Undergraduate,Male,1,4,Married,2547.1988309183953,0,13,1,1,1,6,1,1
31,Travel_Rarely,Research & Development,0,Phd,Female,1,3,Single,2609.7645868047457,1,20,7,3,9,5,10,0
28,Travel_Rarely,Sales,0,Undergraduate,Male,0,6,Single,3705.1240705800724,0,27,1,12,9,13,12,0
28,Non-Travel,Research & Development,1,Masters,Male,1,1,Single,4590.054552789179,1,9,2,0,13,9,1,1
30,Travel_Rarely,Research & Development,0,Undergraduate,Male,1,3,Married,-602.390461865185,0,22,3,18,12,4,8,0
45,Non-Travel,Sales,0,Undergraduate,Female,2,1,Single,2191.0846215320657,0,26,2,7,7,10,1,1
44,Travel_Rarely,Research & Development,0,Phd,Male,3,3,Married,1148.7533154429077,0,35,2,1,1,2,8,0
43,Travel_Rarely,Human Resources,0,Masters,Female,5,2,Single,920.2480651083806,0,18,3,19,9,9,0,1
12,Travel_Rarely,Sales,0,High School,Female,4,0,Married,6428.5256280955255,0,13,4,11,3,4,8,1
47,Travel_Rarely,Research & Development,0,High School,Female,3,2,Married,5223.031428658791,0,29,2,3,10,2,4,0
38,Travel_Rarely,Research & Development,0,Masters,Male,2,4,Divorced,1331.0720356084257,1,29,3,2,6,1,3,0
44,Travel_Rarely,Research & Development,1,Undergraduate,Male,1,6,Married,3565.9045688828014,0,36,2,4,5,7,1,0
33,Travel_Rarely,Sales,0,Masters,Male,1,3,Married,2893.579551058094,0,38,5,13,1,3,10,0
37,Travel_Rarely,Research & Development,0,Masters,Male,1,0,Divorced,1513.8734419126329,0,12,5,2,10,11,10,0
48,Travel_Rarely,Sales,0,Phd,Female,1,5,Married,1683.3153976419576,0,18,4,0,9,14,11,1
45,Travel_Rarely,Human Resources,0,High School,Female,0,9,Married,2335.157581721758,0,1,5,7,7,1,4,0
26,Travel_Rarely,Research & Development,0,Undergraduate,Male,2,3,Single,7523.994874516413,0,29,5,17,9,2,1,0
27,Travel_Rarely,Human Resources,0,Phd,Male,3,2,Single,8062.560734952658,0,36,2,3,5,7,4,0
39,Travel_Rarely,Research & Development,0,High School,Female,9,1,Divorced,5214.33079507623,0,20,1,11,10,9,7,0
37,Travel_Rarely,Research & Development,0,Phd,Male,4,1,Single,3820.1314695098717,1,5,4,2,5,7,14,1
26,Travel_Rarely,Research & Development,1,High School,Female,3,1,Divorced,483.12149139559733,0,0,2,2,2,1,13,0
34,Non-Travel,Human Resources,0,Undergraduate,Female,0,7,Married,5028.420526568628,0,31,2,8,12,9,8,0
28,Travel_Rarely,Sales,0,Phd,Male,1,2,Divorced,-185.4535658791806,0,20,2,7,3,10,9,1
41,Travel_Rarely,Sales,0,Phd,Male,5,4,Married,2519.0112232966085,0,16,2,0,14,1,12,0
58,Travel_Rarely,Research & Development,1,Undergraduate,Female,4,4,Single,7683.680916737092,0,20,5,18,2,2,11,0
26,Travel_Frequently,Sales,0,Phd,Male,1,4,Single,7721.020814378518,1,25,2,17,2,7,2,0
39,Travel_Rarely,Sales,0,Masters,Male,2,4,Divorced,4583.967931594689,0,17,7,6,9,11,7,0
39,Travel_Rarely,Research & Development,0,Masters,Male,1,2,Married,1225.7447280000827,0,20,1,14,14,7,9,0
33,Travel_Rarely,Sales,0,Undergraduate,Female,2,2,Married,5201.488640427549,0,2,3,9,5,3,8,0
31,Travel_Rarely,Sales,0,Masters,Male,4,1,Single,5682.915154410593,0,10,3,9,1,1,2,0
32,Travel_Rarely,Sales,0,High School,Male,2,3,Married,3093.92094079921,0,10,3,10,14,0,9,0
20,Travel_Frequently,Research & Development,0,Undergraduate,Female,3,3,Married,5134.534073090583,0,14,3,10,11,1,5,0
15,Non-Travel,Research & Development,1,Masters,Male,4,0,Married,3345.7203977366253,1,8,5,4,1,1,7,1
26,Travel_Rarely,Sales,0,Undergraduate,Male,3,3,Single,1237.9704743068176,0,26,2,13,7,5,14,0
29,Travel_Rarely,Research & Development,0,Phd,Male,0,3,Single,-2185.3693969860688,0,15,2,1,9,7,7,1
42,Travel_Rarely,Sales,0,Masters,Male,1,0,Divorced,2062.362205828389,0,35,4,6,4,4,7,0
24,Non-Travel,Sales,0,Phd,Female,1,3,Married,1934.4590608689018,1,25,1,6,11,11,5,1
30,Travel_Rarely,Sales,0,Undergraduate,Male,2,0,Single,5013.512823888491,0,0,2,10,10,4,9,0
46,Travel_Rarely,Sales,0,Undergraduate,Female,1,2,Divorced,2731.1543383185417,0,19,3,4,11,4,9,0
43,Travel_Rarely,Sales,0,Phd,Male,3,3,Single,6371.643698388136,0,37,2,18,1,11,1,1
40,Travel_Rarely,Sales,0,High School,Male,1,1,Single,3177.8342885404386,0,2,1,4,4,4,1,1
46,Travel_Rarely,Sales,0,Phd,Male,3,0,Married,2227.44986978467,0,13,6,2,13,14,9,1
62,Travel_Rarely,Research & Development,0,Undergraduate,Female,0,3,Single,6298.834973424066,0,28,5,5,8,10,6,0
34,Non-Travel,Sales,0,Masters,Female,1,6,Married,2733.7886554083384,1,36,5,18,14,5,11,0
41,Travel_Rarely,Sales,0,Masters,Male,3,4,Divorced,1839.4142549698363,0,28,4,10,6,3,5,0
34,Travel_Rarely,Sales,0,Undergraduate,Male,2,4,Divorced,1727.967579004942,0,5,5,13,7,7,2,0
33,Travel_Rarely,Sales,0,Undergraduate,Female,2,6,Married,1326.3687707943793,1,17,2,13,1,9,1,0
26,Travel_Rarely,Research & Development,0,High School,Male,0,1,Married,2777.2553694846474,1,0,3,7,7,13,8,1
52,Travel_Rarely,Sales,0,Undergraduate,Male,4,3,Married,1961.8323948267885,1,20,4,13,11,2,11,1
37,Non-Travel,Sales,0,Undergraduate,Female,1,3,Single,470.4909865895306,0,15,2,11,12,0,12,0
50,Travel_Rarely,Sales,0,High School,Male,4,2,Divorced,740.3113929186943,0,6,0,4,10,8,8,1
39,Travel_Rarely,Research & Development,0,Masters,Male,0,3,Single,4163.068951944933,0,3,5,19,6,4,1,0
26,Travel_Frequently,Research & Development,0,Masters,Male,2,2,Divorced,3133.36399274461,0,38,8,8,2,1,6,0
35,Non-Travel,Research & Development,0,Undergraduate,Male,3,2,Single,1706.5907296806015,0,27,0,14,3,5,10,0
41,Travel_Rarely,Human Resources,0,Undergraduate,Female,4,6,Married,1411.5954487374208,0,20,5,5,3,13,0,1
37,Travel_Rarely,Research & Development,0,Undergraduate,Male,1,2,Divorced,5645.295730262998,0,4,5,2,2,11,12,1
17,Travel_Rarely,Research & Development,0,Phd,Female,0,2,Married,1423.4246671510043,0,15,2,7,10,7,11,0
35,Travel_Rarely,Sales,1,Phd,Male,4,5,Single,2163.2864481100223,0,20,2,7,7,5,2,1
31,Travel_Rarely,Research & Development,0,Phd,Male,2,3,Single,3290.802345441105,0,0,3,15,8,8,6,0
31,Non-Travel,Sales,0,Phd,Male,0,5,Married,1420.8991153242769,0,34,5,1,14,9,0,0
21,Travel_Rarely,Human Resources,0,High School,Female,2,7,Divorced,1111.3080531867768,0,4,1,13,0,7,4,1
54,Travel_Rarely,Sales,0,Undergraduate,Male,2,2,Divorced,3044.174947286381,0,23,5,8,0,2,12,0
45,Travel_Frequently,Human Resources,0,Phd,Female,6,1,Single,6113.858778700347,0,9,5,1,1,3,7,0
27,Travel_Rarely,Sales,0,High School,Male,2,3,Married,676.8080688248001,1,37,3,3,11,4,14,1
33,Travel_Rarely,Sales,0,Phd,Female,5,5,Single,2901.9527320582997,0,14,3,17,7,14,13,1
48,Travel_Rarely,Sales,1,Undergraduate,Male,0,0,Divorced,3029.554581894352,0,28,6,7,11,2,0,0
19,Travel_Rarely,Sales,0,Masters,Male,2,1,Single,5059.466555458491,1,34,3,7,4,0,12,0
51,Travel_Rarely,Human Resources,0,High School,Female,0,2,Married,6240.3783694220165,0,38,4,2,0,11,2,0
39,Travel_Frequently,Sales,0,High School,Male,1,2,Single,2531.6645705839146,1,13,5,9,7,13,14,1
40,Travel_Rarely,Research & Development,0,Undergraduate,Male,4,4,Married,2304.687291534465,1,28,1,4,11,0,7,1
33,Travel_Rarely,Sales,1,High School,Male,2,3,Married,946.2693454630812,0,33,3,18,8,2,10,0
39,Travel_Rarely,Sales,0,Undergraduate,Female,3,1,Divorced,3324.342019716555,0,17,4,7,7,11,4,1
55,Travel_Rarely,Research & Development,0,High School,Male,1,5,Single,3563.980941249743,0,27,1,14,6,13,3,0
36,Travel_Rarely,Research & Development,0,Phd,Female,5,3,Single,74.73747700503645,0,25,3,16,11,0,1,0
28,Travel_Rarely,Human Resources,0,Phd,Female,2,5,Single,5386.04606075401,0,26,3,0,9,11,3,1
30,Travel_Rarely,Research & Development,0,High School,Female,2,2,Divorced,426.50800690129154,0,14,2,18,6,6,14,0
45,Travel_Rarely,Research & Development,0,Undergraduate,Male,0,3,Single,5179.924517320354,1,12,4,8,0,12,13,0
38,Travel_Rarely,Human Resources,0,Masters,Male,3,6,Single,5417.359088755209,0,5,1,17,0,8,14,0
37,Travel_Rarely,Sales,0,Phd,Male,2,5,Married,3400.2803807798455,0,25,3,0,9,5,5,1
30,Non-Travel,Research & Development,0,Undergraduate,Male,1,3,Married,3750.2720473785657,0,0,4,3,12,5,0,1
49,Non-Travel,Research & Development,0,High School,Male,1,1,Divorced,2878.2943640121835,0,1,4,11,12,2,1,0
36,Travel_Rarely,Research & Development,1,Masters,Female,1,2,Single,2653.0175484624697,0,7,4,4,13,5,12,0
27,Travel_Rarely,Research & Development,0,Phd,Male,2,5,Single,4062.601965095593,0,35,4,7,10,13,9,0
18,Travel_Rarely,Sales,0,High School,Male,2,1,Single,5295.941708586459,1,39,3,2,14,6,1,1
23,Travel_Rarely,Research & Development,0,Undergraduate,Female,4,3,Married,-879.9771086156193,0,30,0,2,4,10,3,0
39,Travel_Rarely,Research & Development,0,Phd,Female,5,2,Single,1083.7462533614273,0,1,4,16,11,6,5,0
26,Travel_Frequently,Sales,0,Undergraduate,Female,5,2,Divorced,2341.362714227679,0,9,5,11,2,6,6,1
15,Travel_Rarely,Human Resources,1,Phd,Female,3,6,Married,2057.38403254482,0,33,4,11,10,13,3,0
27,Travel_Rarely,Research & Development,0,Undergraduate,Male,2,0,Single,5461.520183159513,0,10,0,2,3,7,14,0
34,Travel_Rarely,Research & Development,1,Undergraduate,Female,5,4,Single,3383.9740438882477,0,6,4,13,14,0,7,0
41,Travel_Rarely,Sales,0,Undergraduate,Female,0,5,Divorced,-3099.535959916687,0,0,3,4,9,8,7,1
10,Travel_Rarely,Research & Development,0,Undergraduate,Male,1,2,Single,4220.46595429104,0,28,4,19,13,8,10,0
34,Travel_Rarely,Sales,0,Undergraduate,Male,2,4,Married,3609.420979714267,1,15,6,5,2,7,8,0
44,Travel_Rarely,Human Resources,0,Undergraduate,Male,2,4,Married,1538.9849575442413,0,5,3,2,9,4,0,1
26,Travel_Rarely,Sales,0,Undergraduate,Male,2,1,Single,3839.2804640948148,0,32,3,13,0,13,3,1
29,Travel_Rarely,Research & Development,0,High School,Male,2,8,Single,4285.779519390089,1,26,3,7,7,9,10,0
37,Travel_Rarely,Human Resources,0,Phd,Female,0,5,Married,5062.672471464268,0,20,1,9,14,3,0,0
25,Travel_Rarely,Sales,0,High School,Female,1,2,Divorced,5061.804774937854,0,8,5,9,5,12,8,1
26,Travel_Rarely,Research & Development,0,Masters,Male,0,2,Married,414.63554370090833,1,19,4,11,5,0,7,0
34,Travel_Rarely,Sales,1,Masters,Male,1,0,Married,5918.905218590655,0,39,7,3,2,4,3,0
37,Travel_Rarely,Sales,0,Phd,Female,2,3,Married,1835.5257758830573,1,17,1,10,0,3,5,0
41,Travel_Rarely,Research & Development,1,Undergraduate,Male,1,4,Single,2826.9148815933886,1,10,2,12,4,8,14,0
35,Travel_Rarely,Research & Development,0,Undergraduate,Female,0,4,Divorced,4933.8542608518965,0,24,1,17,14,1,10,0
35,Travel_Rarely,Research & Development,0,High School,Male,2,1,Single,2790.539463803096,1,5,2,4,0,0,3,1
37,Travel_Rarely,Sales,0,Phd,Male,0,2,Married,6071.130032237246,0,14,4,4,9,4,10,0
26,Travel_Rarely,Research & Development,1,High School,Female,2,4,Single,2860.208175237961,0,39,3,1,5,5,4,1
14,Travel_Rarely,Human Resources,0,Undergraduate,Male,1,5,Married,-209.07909191802537,1,20,2,2,11,4,6,1
26,Non-Travel,Sales,0,Undergraduate,Male,1,2,Divorced,5181.036811628024,0,10,9,13,6,10,10,1
30,Non-Travel,Sales,2,Phd,Female,2,4,Married,1627.7443198760088,0,5,2,16,4,7,6,0
27,Travel_Rarely,Research & Development,0,Undergraduate,Female,1,3,Married,7014.295733364919,0,38,6,6,11,14,10,0
24,Travel_Rarely,Sales,0,High School,Female,2,3,Divorced,5421.5453982608315,0,33,3,10,14,9,12,1
46,Travel_Rarely,Research & Development,0,Undergraduate,Male,0,5,Married,5645.582786542478,1,24,6,13,10,6,11,0
27,Travel_Frequently,Research & Development,0,Undergraduate,Male,2,4,Single,5677.038356009318,0,1,2,16,8,0,10,0
31,Travel_Frequently,Human Resources,0,Undergraduate,Male,2,2,Married,2984.2786199069924,1,19,5,3,9,2,7,1
41,Travel_Rarely,Sales,0,Masters,Female,2,5,Divorced,2861.7215477603845,0,20,2,6,8,14,0,0
39,Travel_Rarely,Sales,0,Masters,Female,2,2,Divorced,1344.9463884163135,0,14,3,4,10,13,14,1
28,Travel_Rarely,Research & Development,0,Phd,Male,1,1,Single,1686.1219818244776,0,28,3,17,9,5,3,0
26,Travel_Rarely,Research & Development,0,Phd,Male,3,6,Divorced,1868.2679585809299,0,14,3,19,2,14,0,0
34,Travel_Rarely,Sales,0,Phd,Male,2,8,Married,751.4056318897233,0,35,3,13,4,2,11,0
28,Travel_Frequently,Sales,0,Phd,Male,2,1,Divorced,3704.606830747266,0,1,2,8,1,13,9,1
34,Travel_Rarely,Research & Development,0,Masters,Male,0,5,Single,4731.644120613707,0,39,4,12,3,0,3,0
26,Travel_Rarely,Research & Development,0,Undergraduate,Male,2,2,Single,2817.8013250724516,0,3,5,12,3,6,9,0
39,Travel_Frequently,Research & Development,0,Masters,Male,2,3,Married,-1294.7738657421196,1,35,3,4,3,8,0,0
21,Travel_Rarely,Sales,0,Undergraduate,Female,2,7,Married,5759.816618882771,0,3,6,0,13,11,0,1
33,Travel_Rarely,Sales,0,Undergraduate,Male,2,4,Married,1356.5540711132048,0,17,2,18,6,5,3,0
38,Travel_Rarely,Sales,0,Undergraduate,Male,3,2,Married,3657.892516377601,0,35,5,12,8,14,10,1
38,Travel_Rarely,Sales,0,Masters,Female,2,2,Single,-525.4426578087305,0,38,6,7,11,3,11,0
59,Travel_Rarely,Sales,0,Undergraduate,Male,1,5,Married,1902.8828077856526,0,5,6,6,10,1,3,0
33,Travel_Rarely,Research & Development,0,Undergraduate,Male,2,0,Married,960.5834874286936,1,7,6,7,3,5,11,0
36,Travel_Rarely,Human Resources,0,Undergraduate,Female,2,2,Single,3059.5861639997092,0,5,2,14,7,0,12,0
34,Travel_Rarely,Research & Development,0,High School,Female,0,5,Married,4323.07919675019,0,11,6,18,1,0,0,0
54,Travel_Rarely,Research & Development,0,Undergraduate,Male,1,0,Divorced,-1940.171012611322,0,16,5,12,8,8,13,0
45,Travel_Rarely,Human Resources,0,High School,Male,2,5,Married,5303.2269031913265,1,16,5,14,13,1,3,0
54,Non-Travel,Research & Development,0,Masters,Female,4,1,Single,6061.458608670546,0,32,7,14,2,0,5,0
29,Travel_Frequently,Sales,0,Masters,Female,0,3,Married,3747.368470279669,0,13,3,10,13,3,13,0
37,Travel_Rarely,Research & Development,0,Phd,Male,2,6,Married,4657.538514803192,0,25,1,12,6,9,9,0
36,Travel_Rarely,Research & Development,0,Masters,Male,0,3,Married,-1170.2976528139343,0,11,0,13,11,9,10,0
23,Travel_Rarely,Research & Development,0,Undergraduate,Male,1,4,Single,3659.6436145790403,0,11,2,6,8,0,10,0
38,Travel_Rarely,Sales,0,Undergraduate,Male,0,1,Divorced,2260.339007264354,0,26,4,17,5,5,4,0
25,Travel_Rarely,Human Resources,0,Phd,Male,0,2,Divorced,2592.066100145529,0,21,4,5,3,7,9,0
46,Travel_Frequently,Research & Development,0,Masters,Female,2,5,Divorced,4226.288300164364,0,37,4,9,10,0,14,0
33,Travel_Frequently,Research & Development,0,Masters,Male,2,3,Married,3961.3837724406926,0,16,3,4,11,7,9,0
20,Travel_Frequently,Sales,0,High School,Male,3,2,Married,3346.174280314353,0,11,1,8,6,11,0,1
29,Travel_Rarely,Sales,0,Phd,Female,3,1,Married,2385.566313295915,0,33,1,5,1,12,1,1
35,Travel_Rarely,Research & Development,0,Masters,Female,1,3,Single,996.2060489788987,0,19,6,9,8,8,8,0
52,Travel_Rarely,Research & Development,1,Masters,Male,0,5,Married,-10.230795191009292,0,9,3,6,0,5,11,0
44,Travel_Rarely,Research & Development,0,Masters,Female,2,7,Single,1820.9421270008695,0,18,5,8,4,7,1,0
36,Travel_Rarely,Research & Development,0,Masters,Female,3,5,Single,2032.455764014237,0,27,3,12,11,8,5,0
44,Travel_Rarely,Sales,0,Undergraduate,Male,3,1,Married,1035.909052414765,1,25,5,15,14,1,8,0
37,Travel_Rarely,Human Resources,0,Undergraduate,Female,4,6,Single,978.8269762465079,0,19,9,16,2,13,3,1
26,Travel_Rarely,Sales,0,High School,Female,5,4,Divorced,4906.746266152908,0,12,2,14,12,10,10,1
39,Travel_Rarely,Research & Development,0,Undergraduate,Male,3,4,Single,4800.161143793877,0,28,1,13,5,3,9,0
44,Travel_Rarely,Research & Development,0,Masters,Female,2,4,Married,5990.47317725386,0,39,4,14,10,8,1,0
66,Travel_Rarely,Sales,0,Undergraduate,Male,5,11,Single,5070.963275641125,1,4,2,7,1,11,3,1
38,Travel_Frequently,Research & Development,0,Undergraduate,Female,4,4,Married,5263.857842309975,0,16,0,15,14,12,6,0
30,Travel_Frequently,Research & Development,0,Phd,Male,2,5,Single,758.5906786140777,0,12,3,0,13,2,1,0
44,Non-Travel,Sales,0,Undergraduate,Male,2,3,Married,958.8010732117436,0,13,1,12,6,11,5,1
42,Non-Travel,Research & Development,0,Phd,Male,1,3,Single,2608.61245683614,0,26,3,18,7,13,14,0
51,Travel_Rarely,Sales,0,Undergraduate,Male,1,2,Married,4964.9706996311215,1,14,6,7,14,5,8,0
43,Travel_Rarely,Research & Development,0,Undergraduate,Male,1,2,Single,3567.7621870271973,0,32,3,18,9,14,4,0
18,Travel_Frequently,Research & Development,0,Phd,Male,1,6,Single,2731.6130075761753,0,1,2,16,14,3,11,0
34,Travel_Rarely,Sales,0,Undergraduate,Male,1,5,Single,-1970.0889598962467,1,2,4,6,13,12,4,0
48,Travel_Rarely,Research & Development,0,High School,Male,2,1,Married,2890.8124588213855,0,0,0,4,14,6,3,1
52,Travel_Rarely,Human Resources,1,High School,Female,2,1,Divorced,2439.201932952336,0,5,2,9,13,5,11,0
27,Non-Travel,Research & Development,1,Undergraduate,Male,1,4,Single,3458.8817023925963,1,1,4,5,9,9,14,0
33,Travel_Rarely,Human Resources,0,Undergraduate,Female,1,2,Single,3704.508740110217,0,35,5,18,3,11,13,0
42,Travel_Rarely,Research & Development,0,Phd,Male,1,4,Married,2224.398783324344,1,11,3,4,3,4,4,0
31,Travel_Rarely,Sales,0,Undergraduate,Male,6,0,Single,1833.4066740141523,0,6,2,7,6,0,1,0
32,Travel_Rarely,Research & Development,1,High School,Male,3,5,Divorced,1823.9420329606107,0,2,7,7,12,13,4,1
44,Travel_Rarely,Sales,0,Undergraduate,Male,1,3,Single,2400.738337601335,0,26,4,1,14,9,12,1
45,Travel_Rarely,Research & Development,0,Masters,Male,1,1,Married,5837.379312387652,1,13,3,17,5,8,4,0
46,Travel_Rarely,Research & Development,0,Undergraduate,Male,1,4,Divorced,1960.3151729535534,0,30,0,18,7,1,12,0
40,Travel_Frequently,Sales,0,Undergraduate,Male,3,3,Married,4194.65855791047,0,39,0,8,0,7,3,1
25,Travel_Rarely,Research & Development,0,Undergraduate,Female,2,3,Single,2622.4772210659257,1,1,4,7,1,14,13,0
34,Travel_Rarely,Research & Development,0,Phd,Male,1,6,Single,5529.809757985819,0,22,3,0,1,10,11,1
25,Travel_Rarely,Sales,1,High School,Male,2,4,Married,3402.22263272403,1,14,4,12,6,6,10,1
30,Travel_Rarely,Research & Development,0,Phd,Female,4,3,Divorced,249.7075492122376,0,34,2,15,11,0,1,0
41,Travel_Frequently,Research & Development,0,Phd,Female,1,1,Married,2169.3077835923573,0,38,4,17,3,12,12,0
37,Travel_Rarely,Research & Development,0,High School,Female,1,1,Divorced,1811.225911954367,0,29,1,10,1,2,11,0
57,Travel_Rarely,Research & Development,0,Undergraduate,Female,6,5,Married,779.4608871519067,0,12,4,9,5,2,2,0
38,Non-Travel,Sales,0,Undergraduate,Male,1,6,Divorced,2050.898691995456,0,27,2,8,2,1,2,0
39,Travel_Frequently,Sales,1,Masters,Female,0,3,Single,2948.5247823788086,0,14,2,17,13,8,3,1
35,Non-Travel,Sales,0,Undergraduate,Female,1,6,Divorced,4887.218533061073,0,39,3,12,9,6,2,0
43,Travel_Rarely,Research & Development,0,High School,Male,4,4,Married,4241.962984999162,1,31,2,14,2,5,13,0
52,Non-Travel,Sales,0,Undergraduate,Female,3,1,Divorced,3271.978355359819,0,24,2,15,1,13,11,1
37,Travel_Rarely,Research & Development,0,Undergraduate,Female,3,1,Divorced,4492.172141309276,0,38,5,16,12,0,14,0
50,Travel_Rarely,Research & Development,0,High School,Male,0,2,Single,1292.5537201697136,1,35,6,7,5,13,10,0
34,Travel_Frequently,Research & Development,0,Undergraduate,Male,2,2,Married,3802.782653323852,0,0,5,12,4,4,5,0
46,Travel_Rarely,Human Resources,0,Undergraduate,Male,5,2,Single,5709.242113567905,0,24,2,18,7,8,12,1
34,Travel_Rarely,Sales,2,Undergraduate,Male,2,0,Single,2206.063811181747,1,28,2,11,10,3,7,0
34,Travel_Rarely,Research & Development,0,Undergraduate,Male,0,0,Married,2791.2784932927498,0,20,7,0,4,0,8,0
15,Travel_Rarely,Research & Development,0,High School,Male,2,4,Married,1799.7912082832906,1,27,3,0,12,5,11,1
17,Travel_Rarely,Research & Development,0,Masters,Male,0,3,Married,2814.5273983115553,0,4,7,15,5,12,0,0
34,Travel_Rarely,Research & Development,0,High School,Female,3,5,Single,5822.184617687004,1,33,3,2,6,4,0,0
43,Travel_Rarely,Research & Development,0,Undergraduate,Male,2,2,Single,3792.2358824757725,0,21,6,9,7,1,12,0
35,Travel_Frequently,Sales,1,Undergraduate,Male,3,1,Single,3026.2402165131084,1,36,8,11,6,14,14,1
27,Travel_Frequently,Research & Development,0,Undergraduate,Female,2,4,Married,5036.6495441830275,0,24,4,10,7,1,1,0
25,Non-Travel,Research & Development,0,High School,Male,3,1,Married,3460.8014130000893,0,19,2,17,3,7,7,0
43,Travel_Frequently,Sales,0,High School,Female,1,0,Single,2028.4165830361817,0,7,3,17,4,6,13,1
25,Travel_Rarely,Research & Development,0,Masters,Male,1,2,Married,4940.095352946223,0,30,4,13,14,14,8,0
43,Travel_Rarely,Human Resources,0,Phd,Female,1,1,Married,1822.6750219311004,0,21,3,11,9,2,0,0
42,Travel_Rarely,Human Resources,1,Undergraduate,Female,1,1,Married,4835.919967758177,0,37,5,18,3,5,6,0
50,Travel_Rarely,Research & Development,0,Masters,Female,1,2,Married,3158.7579700548868,0,30,3,15,11,13,6,0
60,Travel_Rarely,Research & Development,1,Undergraduate,Female,3,4,Married,6626.760411481621,0,21,5,4,7,3,8,0
32,Travel_Frequently,Research & Development,0,High School,Female,0,4,Married,5244.3907419159805,0,19,4,16,0,1,7,0
34,Non-Travel,Sales,1,High School,Male,2,5,Divorced,3090.016771129845,0,26,2,18,6,0,4,0
49,Travel_Frequently,Human Resources,2,Undergraduate,Male,1,5,Married,-2855.5412387224605,0,7,3,19,2,3,3,0
35,Travel_Frequently,Sales,0,High School,Male,0,5,Married,7087.950586640685,1,31,3,12,1,6,5,0
19,Travel_Frequently,Research & Development,1,High School,Female,4,4,Married,2802.3405618188895,0,10,2,14,1,8,12,0
27,Travel_Rarely,Research & Development,0,Phd,Female,3,1,Divorced,3553.946859471801,0,36,2,4,12,6,4,0
39,Travel_Frequently,Sales,0,Undergraduate,Female,0,5,Divorced,2613.701666634922,0,11,2,0,6,2,4,0
23,Travel_Frequently,Sales,3,Phd,Female,2,7,Single,1275.97418796155,1,23,3,14,6,2,1,0
55,Travel_Rarely,Sales,0,Phd,Male,2,1,Married,4549.719626481324,0,8,6,5,13,4,13,0
48,Travel_Rarely,Research & Development,0,Masters,Male,7,9,Single,2556.0497386698476,0,15,3,12,6,13,8,0
26,Travel_Rarely,Sales,0,Phd,Male,2,6,Married,1092.0372773562622,0,21,0,4,1,1,8,0
26,Travel_Rarely,Research & Development,1,Phd,Male,2,3,Divorced,2323.9625609356153,0,1,2,18,1,5,3,0
36,Travel_Rarely,Research & Development,0,Undergraduate,Male,3,4,Divorced,1975.8346175891368,0,26,2,1,11,11,6,1
31,Travel_Rarely,Research & Development,0,Masters,Female,3,5,Divorced,2940.040288750328,0,33,5,4,3,6,2,0
34,Travel_Frequently,Research & Development,0,Undergraduate,Male,5,1,Divorced,3271.294797959483,1,23,4,12,7,0,10,0
42,Travel_Rarely,Sales,0,Masters,Female,3,10,Married,3546.056353626938,1,0,1,5,14,5,12,0
33,Non-Travel,Research & Development,0,Phd,Male,1,5,Divorced,2949.3246472383657,0,5,3,2,1,12,1,1
49,Travel_Rarely,Research & Development,0,Undergraduate,Male,0,7,Married,-528.8355603374271,0,39,5,6,2,4,11,0
44,Travel_Rarely,Research & Development,0,Undergraduate,Male,3,5,Married,3168.3276629879024,0,34,2,8,3,0,13,0
45,Travel_Rarely,Research & Development,1,Phd,Female,0,2,Married,4079.9251300185156,0,24,2,2,10,5,7,0
23,Travel_Rarely,Human Resources,0,Undergraduate,Male,3,5,Single,3294.8418434823798,0,0,1,17,11,5,0,1
21,Travel_Rarely,Research & Development,0,Masters,Female,1,2,Married,6009.289583809234,0,30,1,11,12,12,12,0
35,Travel_Rarely,Sales,0,Undergraduate,Female,3,3,Divorced,2310.8232169806115,0,19,3,19,11,2,12,0
53,Travel_Rarely,Research & Development,0,High School,Male,2,3,Married,1572.144000402169,0,27,2,13,11,5,13,0
47,Travel_Rarely,Research & Development,0,Phd,Male,1,4,Single,4999.491060867331,0,25,5,0,4,5,12,1
42,Travel_Frequently,Research & Development,0,Phd,Male,4,4,Single,1882.8763970800128,1,17,2,0,4,6,5,1
